confidence,raw_uncertainty,normalized_uncertainty,trust_score,decision
0.99962467,0.0038282855,0.04859135,0.95105153,Accept
0.9994671,0.0051854616,0.06705706,0.93244576,Accept
0.9998037,0.0021316838,0.025507424,0.9743013,Accept
0.99949116,0.0050382665,0.06505433,0.93446994,Accept
0.99962103,0.0038906964,0.049440514,0.95019925,Accept
0.9995891,0.0041133114,0.052469406,0.94714123,Accept
0.98657954,0.08334446,1.0,0.0,Reject
0.99914646,0.00795086,0.104683004,0.8945528,Human Review
0.9989443,0.009620848,0.12740482,0.871674,Human Review
0.9996686,0.0033777268,0.04246106,0.9572216,Accept
0.99937004,0.0061212652,0.07978958,0.9196307,Accept
0.999683,0.0032787505,0.04111439,0.9585817,Accept
0.9993791,0.0060014008,0.07815871,0.9212689,Accept
0.99186385,0.058950864,0.79858786,0.19977342,Reject
0.99929255,0.006950063,0.09106619,0.9082908,Accept
0.9987907,0.011218847,0.14914715,0.8498239,Human Review
0.9992963,0.006922231,0.090687506,0.90867263,Accept
0.99859047,0.012882102,0.17177737,0.8270552,Human Review
0.9998254,0.0019464731,0.022987453,0.976842,Accept
0.9997209,0.0029922219,0.03721589,0.96251535,Accept
0.99940807,0.005837633,0.07593048,0.92352253,Accept
0.99878263,0.0112125985,0.14906214,0.8499019,Human Review
0.999448,0.0055050887,0.071405895,0.9280815,Accept
0.9979227,0.017854225,0.23942797,0.7589921,Human Review
0.999113,0.00843141,0.11122136,0.8879903,Human Review
0.997155,0.023858413,0.32112083,0.6769477,Human Review
0.99952996,0.00480746,0.06191398,0.9376451,Accept
0.99976176,0.0026021034,0.031907946,0.9678615,Accept
0.9995155,0.004939248,0.063707076,0.9358393,Accept
0.99882823,0.010915918,0.14502552,0.8539727,Human Review
0.9998881,0.0013048626,0.014257714,0.985632,Accept
0.9994486,0.0055389754,0.07186696,0.92762125,Accept
0.9998099,0.0021003785,0.025081486,0.9747332,Accept
0.99980795,0.002125337,0.025421072,0.97439176,Accept
0.9998887,0.0013009867,0.01420498,0.98568535,Accept
0.9998171,0.0020451127,0.02432954,0.975492,Accept
0.99986535,0.0015488237,0.017577043,0.9822907,Accept
0.99985355,0.0016702942,0.01922977,0.9806266,Accept
0.99978036,0.0024184228,0.029408792,0.970378,Accept
0.9997992,0.0022291685,0.026833802,0.9729708,Accept
0.99939424,0.0060475394,0.07878647,0.9206555,Accept
0.9997986,0.0022275466,0.026811734,0.9729923,Accept
0.99963933,0.0037907737,0.048080966,0.9515757,Accept
0.99980396,0.0021775116,0.026130958,0.9736781,Accept
0.9996751,0.0034334,0.04321855,0.9564706,Accept
0.99958277,0.0043231333,0.055324238,0.9442816,Accept
0.9996368,0.0037921523,0.048099723,0.9515546,Accept
0.9995084,0.004993244,0.06444175,0.93509835,Accept
0.9997949,0.002271345,0.027407652,0.97239286,Accept
0.99927133,0.007130518,0.09352145,0.905818,Accept
0.9998123,0.002090508,0.024947187,0.97486985,Accept
0.9997515,0.0027017093,0.03326318,0.9664966,Accept
0.9994049,0.0059485836,0.077440076,0.9220109,Accept
0.9994692,0.0053652213,0.06950287,0.9300032,Accept
0.9998115,0.0021036286,0.025125707,0.9746905,Accept
0.99843085,0.013906548,0.18571596,0.8130063,Human Review
0.9993925,0.006040196,0.07868656,0.9207538,Accept
0.99984914,0.0017165877,0.019859636,0.9799925,Accept
0.99936485,0.0063146967,0.08242141,0.91699576,Accept
0.9997223,0.0029831287,0.037092168,0.96264046,Accept
0.9990925,0.008710373,0.11501692,0.88417995,Human Review
0.99943846,0.0056500053,0.07337763,0.92610204,Accept
0.9995912,0.0042455452,0.054268576,0.94534475,Accept
0.99990094,0.0011678543,0.012393583,0.9875086,Accept
0.9997727,0.0024859747,0.030327901,0.9694517,Accept
0.99987966,0.001396874,0.015509619,0.9843719,Accept
0.9995195,0.0048949537,0.06310441,0.9364455,Accept
0.99982435,0.0019729082,0.023347128,0.9764813,Accept
0.99947757,0.0052981665,0.06859052,0.93092287,Accept
0.9994653,0.005402696,0.07001274,0.92949,Accept
0.9985364,0.013293041,0.1773686,0.8214274,Human Review
0.99937814,0.0061920043,0.08075205,0.91867626,Accept
0.99931747,0.006714476,0.08786079,0.9115166,Accept
0.99851984,0.012653526,0.16866736,0.83010215,Human Review
0.99956894,0.004210061,0.05378578,0.9458063,Accept
0.9995274,0.0044798944,0.057457127,0.9420974,Accept
0.9997245,0.002885095,0.035758324,0.963976,Accept
0.9995045,0.004759678,0.06126386,0.938271,Accept
0.9996727,0.003328414,0.04179011,0.95789623,Accept
0.9995376,0.0044202507,0.056645617,0.9429181,Accept
0.9989311,0.009252399,0.122391716,0.87667024,Human Review
0.9954376,0.033304065,0.44963813,0.5478509,Reject
0.99967337,0.0033106061,0.041547816,0.9581391,Accept
0.9979578,0.016597006,0.22232229,0.77608955,Human Review
0.9983277,0.014396737,0.19238546,0.806264,Human Review
0.99976885,0.002486358,0.030333115,0.9694428,Accept
0.9995124,0.0047871633,0.061637823,0.9379046,Accept
0.99949324,0.004985325,0.064334005,0.9351918,Accept
0.99257815,0.050159387,0.67897123,0.31864613,Reject
0.99965984,0.0034129953,0.042940922,0.9567335,Accept
0.99933493,0.006393236,0.083490014,0.91590047,Accept
0.99811757,0.015883503,0.21261437,0.78590345,Human Review
0.9966326,0.025718383,0.34642753,0.6513716,Human Review
0.99985933,0.0015672152,0.017827278,0.98203456,Accept
0.9997541,0.0025796606,0.031602588,0.96815926,Accept
0.9992145,0.0072740335,0.09547412,0.9038153,Accept
0.9996978,0.003114109,0.03887428,0.9608353,Accept
0.9996133,0.0038042322,0.048264083,0.95136786,Accept
0.99968666,0.0032252308,0.040386204,0.9593131,Accept
0.9994896,0.00467841,0.060158126,0.93936217,Accept
0.9992947,0.006436843,0.084083326,0.9152707,Accept
0.99982214,0.0019240719,0.022682663,0.9771435,Accept
0.9987893,0.010334875,0.13711986,0.8618354,Human Review
0.999646,0.0036383844,0.046007562,0.9536547,Accept
0.99804556,0.016645718,0.22298506,0.77549636,Human Review
0.9989765,0.008817683,0.116476975,0.8826188,Human Review
0.99403745,0.043148253,0.58357793,0.41393912,Reject
0.99955654,0.0044647837,0.05725153,0.9423304,Accept
0.99919,0.0071984916,0.0944463,0.9048202,Accept
0.99951535,0.004727934,0.06083195,0.9387129,Accept
0.9995964,0.004006945,0.05102219,0.9485948,Accept
0.9995225,0.0046518664,0.059796974,0.93975407,Accept
0.99691373,0.02281104,0.30687028,0.6909905,Human Review
0.9993437,0.0059573166,0.0775589,0.9218357,Accept
0.99929017,0.0063492586,0.08289165,0.91645736,Accept
0.9997514,0.0026248395,0.032217294,0.9675421,Accept
0.9991461,0.0073546143,0.0965705,0.90265805,Accept
0.99918425,0.0070100846,0.09188284,0.9073764,Accept
0.99931717,0.0059705395,0.077738814,0.92163146,Accept
0.9981182,0.014807706,0.19797708,0.8005137,Human Review
0.99956924,0.0041143275,0.05248323,0.9471086,Accept
0.9994957,0.0049456796,0.06379459,0.93573326,Accept
0.99870205,0.010278797,0.13635686,0.8625222,Human Review
0.9994051,0.0053461436,0.0692433,0.93020296,Accept
0.99757254,0.019072738,0.25600702,0.74218696,Human Review
0.99474144,0.03481932,0.47025463,0.52695966,Reject
0.99774456,0.016478512,0.22071005,0.77753234,Human Review
0.9973666,0.019179797,0.25746366,0.7405809,Human Review
0.9990763,0.008044607,0.10595853,0.89321566,Human Review
0.99983424,0.0017476085,0.020281706,0.97955585,Accept
0.999644,0.0036529438,0.046205655,0.9534548,Accept
0.9998189,0.0019237176,0.02267784,0.9771452,Accept
0.99974823,0.0026793375,0.03295879,0.9667977,Accept
0.9994616,0.005357559,0.06939861,0.9301003,Accept
0.99975723,0.0026178071,0.03212161,0.96764344,Accept
0.99871665,0.011731652,0.15612437,0.8427927,Human Review
0.9918834,0.059312113,0.80350304,0.19490208,Reject
0.99625915,0.02959941,0.3992327,0.5985199,Reject
0.8952241,0.4021159,1.0,0.0,Reject
0.99758655,0.019854845,0.26664838,0.7315817,Human Review
0.99961567,0.0039558513,0.050327007,0.94930804,Accept
0.99963075,0.003834586,0.048677076,0.95097166,Accept
0.9996169,0.003997083,0.050888002,0.9487484,Accept
0.9717979,0.16174632,1.0,0.0,Reject
0.978549,0.13212727,1.0,0.0,Reject
0.9981065,0.016044661,0.2148071,0.7837061,Human Review
0.99966544,0.0034976522,0.044092763,0.9555874,Accept
0.9997902,0.0023110956,0.027948499,0.97184753,Accept
0.9192484,0.3709169,1.0,0.0,Reject
0.42776614,1.2789147,1.0,0.0,Reject
0.99964315,0.0036970132,0.046805263,0.9528546,Accept
0.9998053,0.0021568125,0.025849326,0.97396094,Accept
0.9989315,0.010031026,0.1329857,0.8660879,Human Review
0.9979443,0.017195335,0.23046313,0.7679549,Human Review
0.99979925,0.0021949532,0.026368266,0.9734363,Accept
0.9997404,0.0028042851,0.034658827,0.9650906,Accept
0.99911463,0.0085161105,0.112373784,0.88684034,Human Review
0.98159665,0.11752546,1.0,0.0,Reject
0.99954206,0.0046567596,0.05986355,0.9397059,Accept
0.9995312,0.004756431,0.061219677,0.9383402,Accept
0.9997185,0.0030019865,0.037348747,0.96238023,Accept
0.99981004,0.002095798,0.025019163,0.97479564,Accept
0.999644,0.0036962798,0.046795286,0.95286536,Accept
0.99944156,0.0055397237,0.07187714,0.92760456,Accept
0.9782478,0.12758774,1.0,0.0,Reject
0.99776596,0.019269709,0.25868702,0.73965687,Human Review
0.9923647,0.055512782,0.7518094,0.24629557,Reject
0.9985647,0.013079773,0.17446686,0.8243483,Human Review
0.9984065,0.0140164895,0.18721181,0.81149304,Human Review
0.98809797,0.08127846,1.0,0.0,Reject
0.99417585,0.04428418,0.5990333,0.39863142,Reject
0.99624234,0.030273788,0.40840825,0.5893687,Reject
0.92795944,0.35601872,1.0,0.0,Reject
0.49595442,0.9007517,1.0,0.0,Reject
0.9965103,0.028668026,0.3865603,0.611299,Human Review
0.9993025,0.0068176617,0.089264736,0.91010004,Accept
0.9991728,0.007970338,0.10494802,0.89431155,Human Review
0.99639666,0.02930506,0.39522776,0.602593,Human Review
0.933732,0.32078618,1.0,0.0,Reject
0.98490614,0.08980261,1.0,0.0,Reject
0.9875105,0.086472124,1.0,0.0,Reject
0.9973776,0.02233112,0.3003405,0.69782466,Human Review
0.9993202,0.0066933786,0.087573744,0.911806,Accept
0.9996641,0.0035429003,0.04470841,0.9549707,Accept
0.99883145,0.010577342,0.14041884,0.8585767,Human Review
0.9996986,0.0032133032,0.040223915,0.9594868,Accept
0.998144,0.015812045,0.2116421,0.7868947,Human Review
0.9974386,0.021399006,0.28765818,0.7105172,Human Review
0.99960625,0.004028652,0.05131753,0.94830894,Accept
0.9828219,0.10704954,1.0,0.0,Reject
0.9992623,0.0071886685,0.094312645,0.90501916,Accept
0.9947958,0.040635645,0.54939145,0.4482635,Reject
0.9992141,0.0076380097,0.100426376,0.89886665,Human Review
0.9812668,0.122414984,1.0,0.0,Reject
0.97303116,0.16721457,1.0,0.0,Reject
0.9380355,0.32612127,1.0,0.0,Reject
0.9909916,0.06503073,0.8813104,0.11762039,Reject
0.9940845,0.045043916,0.60937023,0.388319,Reject
0.9665646,0.19639543,1.0,0.0,Reject
0.92487586,0.38278857,1.0,0.0,Reject
0.95547885,0.24955261,1.0,0.0,Reject
0.9819916,0.11802714,1.0,0.0,Reject
0.974209,0.15642694,1.0,0.0,Reject
0.9926373,0.05483776,0.74262506,0.25547996,Reject
0.5859386,1.2269918,1.0,0.0,Reject
0.9776228,0.14043635,1.0,0.0,Reject
0.8513182,0.6527127,1.0,0.0,Reject
0.98148996,0.120463856,1.0,0.0,Reject
0.99054873,0.06821819,0.92467886,0.07460926,Reject
0.9948296,0.039706603,0.5367509,0.4608539,Reject
0.97845215,0.13701203,1.0,0.0,Reject
0.9971819,0.023618642,0.31785852,0.6802191,Human Review
0.9963207,0.0298359,0.40245038,0.59535104,Reject
0.99772644,0.019499209,0.2618096,0.73651206,Human Review
0.9919445,0.058702566,0.7952095,0.20314078,Reject
0.98733807,0.08545249,1.0,0.0,Reject
0.8964529,0.48910683,1.0,0.0,Reject
0.97605133,0.14922391,1.0,0.0,Reject
0.84875643,0.61183393,1.0,0.0,Reject
0.6803753,1.0611691,1.0,0.0,Reject
0.6173061,1.1525387,1.0,0.0,Reject
0.85300446,0.57441497,1.0,0.0,Reject
0.9451276,0.29349932,1.0,0.0,Reject
0.9784965,0.13686089,1.0,0.0,Reject
0.9972095,0.023356542,0.31429237,0.68379414,Human Review
0.9899568,0.071418375,0.96822053,0.0314603,Reject
0.9554822,0.24892868,1.0,0.0,Reject
0.9541138,0.25023937,1.0,0.0,Reject
0.9237833,0.37322283,1.0,0.0,Reject
0.98295766,0.11193127,1.0,0.0,Reject
0.9919611,0.059333064,0.80378807,0.19463462,Reject
0.99552757,0.035500363,0.4795209,0.5181513,Reject
0.932785,0.333655,1.0,0.0,Reject
0.99124604,0.06383285,0.86501205,0.13380627,Reject
0.99292946,0.052771542,0.71451217,0.2834693,Reject
0.99515593,0.03777643,0.510489,0.4871398,Reject
0.9931156,0.051311605,0.6946483,0.3032495,Reject
0.9253092,0.38147265,1.0,0.0,Reject
0.95740336,0.23929061,1.0,0.0,Reject
0.9965337,0.028354492,0.38229436,0.61556447,Human Review
0.9968888,0.025656782,0.3455894,0.6523746,Human Review
0.9903948,0.06907537,0.93634164,0.0630469,Reject
0.9948253,0.040124934,0.54244274,0.45518956,Reject
0.9958524,0.03332109,0.44986975,0.5478485,Reject
0.9755722,0.14964256,1.0,0.0,Reject
0.99875826,0.011324713,0.15058757,0.8483577,Human Review
0.99556303,0.034496523,0.4658627,0.53176737,Reject
0.9929882,0.05281526,0.71510696,0.28289545,Reject
0.99672854,0.02711244,0.36539504,0.63252884,Human Review
0.97456855,0.14894493,1.0,0.0,Reject
0.99421597,0.044266045,0.5987866,0.3988928,Reject
0.9987616,0.011383706,0.15139022,0.84755886,Human Review
0.99674,0.027035931,0.36435404,0.6335738,Human Review
0.99995977,0.000507024,0.0034023412,0.99655753,Accept
0.99985856,0.0016115085,0.018429933,0.98143125,Accept
0.999819,0.0020091198,0.023839822,0.97598344,Accept
0.9998253,0.0019608093,0.023182511,0.97664684,Accept
0.9995889,0.004257449,0.05443054,0.9451807,Accept
0.9997929,0.0022634554,0.027300308,0.97249824,Accept
0.9999127,0.0010396047,0.010648621,0.989265,Accept
0.99983686,0.001835493,0.02147746,0.9783629,Accept
0.9999615,0.0004881891,0.003146074,0.99681556,Accept
0.99996775,0.00041415094,0.0021387124,0.9978291,Accept
0.99987775,0.0014143089,0.01574684,0.9841328,Accept
0.9999461,0.00066546194,0.005558044,0.99438834,Accept
0.9999132,0.0010327379,0.010555192,0.9893589,Accept
0.9999601,0.0005031316,0.003349381,0.9966109,Accept
0.9998307,0.0018948473,0.022285033,0.97754943,Accept
0.9999545,0.0005676878,0.0042277314,0.99572694,Accept
0.99997157,0.00036845074,0.0015169164,0.9984547,Accept
0.9999164,0.0009962189,0.0100583155,0.98985887,Accept
0.99996585,0.00043507345,0.0024233835,0.9975425,Accept
0.9999592,0.000514553,0.0035047804,0.99645454,Accept
0.9999165,0.0009954897,0.010048393,0.98986894,Accept
0.99991417,0.0010197004,0.010377805,0.98953724,Accept
0.9998997,0.0011772879,0.012521936,0.987379,Accept
0.9999261,0.00089073065,0.008623045,0.9913037,Accept
0.9998385,0.0018198839,0.021265084,0.97857684,Accept
0.99983424,0.0018611694,0.021826811,0.9780111,Accept
0.9997879,0.0023318622,0.028231049,0.97156286,Accept
0.9999081,0.0010875744,0.011301297,0.9886078,Accept
0.99995273,0.000590598,0.004539447,0.99541354,Accept
0.9999184,0.0009751116,0.00977113,0.99014807,Accept
0.9998701,0.0014904828,0.01678326,0.9830891,Accept
0.99986327,0.0015603458,0.017733812,0.9821319,Accept
0.99991906,0.0009672594,0.009664293,0.99025553,Accept
0.9998835,0.0013511113,0.014886973,0.9849982,Accept
0.99996626,0.00043109906,0.0023693081,0.99759704,Accept
0.99992555,0.0008954742,0.008687586,0.9912386,Accept
0.9998528,0.0016708572,0.019237429,0.98061824,Accept
0.9998762,0.0014257195,0.01590209,0.98397607,Accept
0.99993575,0.0007832444,0.007160589,0.9927756,Accept
0.9999407,0.000725951,0.0063810567,0.99356,Accept
0.9998479,0.0017149255,0.019837022,0.9800139,Accept
0.9998808,0.0013685164,0.015123786,0.9847588,Accept
0.99993,0.0008455154,0.008007847,0.99192274,Accept
0.99989074,0.0012751315,0.013853193,0.98603904,Accept
0.99988824,0.0013018639,0.014216915,0.98567295,Accept
0.9998657,0.0015350927,0.01739022,0.98247784,Accept
0.9998624,0.0015674158,0.017830007,0.9820348,Accept
0.9998871,0.0013065296,0.0142803965,0.98560834,Accept
0.9998671,0.0015207175,0.017194632,0.9826747,Accept
0.9996778,0.003414052,0.0429553,0.9567363,Accept
0.9998434,0.0017751787,0.020656824,0.9791898,Accept
0.99989957,0.0011663211,0.012372722,0.9875281,Accept
0.9998005,0.0022111246,0.026588297,0.9732175,Accept
0.9999445,0.00068555004,0.005831362,0.99411345,Accept
0.9999587,0.0005215581,0.003600092,0.9963587,Accept
0.9999532,0.0005858135,0.004474349,0.9954791,Accept
0.99984884,0.001717419,0.019870948,0.9799809,Accept
0.9999176,0.0009876187,0.009941301,0.9899772,Accept
0.9998026,0.0021749793,0.026096502,0.9737112,Accept
0.9998894,0.0012932352,0.014099513,0.9857914,Accept
