true_label,pred_label,confidence
3,3,0.99999917
3,3,0.99999857
3,3,0.9999988
3,3,0.9999926
3,3,0.9999988
3,3,0.99999785
3,3,0.99999857
3,3,0.99994814
3,3,0.9999993
3,3,0.9999987
3,3,0.99999845
3,3,0.99999714
3,3,0.9999994
3,3,0.99999917
3,3,0.99999917
3,3,0.99999785
3,3,0.99999833
3,3,0.999998
3,3,0.99999917
3,3,0.9999945
3,3,0.99999475
3,3,0.9999995
3,3,0.99999785
3,3,0.9999994
3,3,0.99999917
3,3,0.99999726
3,3,0.99989796
3,3,0.9999968
3,3,0.99999857
3,3,0.99999917
3,3,0.9999993
3,3,0.9999968
3,3,0.9999988
3,3,0.9999995
3,3,0.9999988
3,3,0.99999917
3,3,0.9999988
3,3,0.99999905
3,3,0.99999654
3,3,0.99999917
3,3,0.99999785
3,3,0.99998915
3,3,0.9999987
3,3,0.9999355
3,3,0.9999989
3,3,0.99999535
3,3,0.9999994
4,4,0.9999982
4,4,0.99999857
4,4,0.99999833
4,4,0.99999857
4,4,0.9999987
4,4,0.9999987
4,4,0.99999344
4,4,0.99999714
4,4,0.9999987
4,4,0.99999845
4,4,0.99999595
4,4,0.99999666
4,4,0.99999726
4,4,0.9999976
4,4,0.99999857
4,4,0.9999981
4,4,0.9999976
4,4,0.99999845
4,4,0.9999994
4,4,0.9999987
4,4,0.99999905
4,4,0.99999905
4,4,0.99999917
4,4,0.9999988
4,4,0.9999988
4,4,0.9999993
4,4,0.9999988
4,4,0.99999917
4,4,0.9999994
4,4,0.9999993
4,4,0.9999988
4,4,0.99999905
4,4,0.9999994
4,4,0.9999993
4,4,0.9999994
4,4,0.99999905
4,4,0.99999917
4,4,0.9999993
4,4,0.9999989
4,4,0.9999993
4,4,0.99999905
4,4,0.9999987
4,4,0.99999845
4,4,0.99999905
4,4,0.9999994
4,4,0.99999917
4,4,0.9999989
4,4,0.99999917
4,4,0.9999993
4,4,0.9999989
4,4,0.9999993
4,4,0.9999989
4,4,0.999998
4,4,0.9999989
4,4,0.9999993
4,4,0.99999917
4,4,0.99999917
4,4,0.9999993
4,4,0.99999917
4,4,0.9999988
5,5,1.0
5,5,0.9999994
5,5,0.9999994
5,5,0.99999976
5,5,0.99999774
5,5,0.9999883
5,5,0.9999995
5,5,0.99999917
5,5,1.0
5,5,1.0
5,5,0.9999994
5,5,0.9999999
5,5,0.99999964
5,5,0.9999999
5,5,0.9999994
5,5,0.9999999
5,5,0.9999999
5,5,0.99999976
5,5,0.9999999
5,5,0.9999999
5,5,0.99999976
5,5,0.99999976
5,5,0.99999976
5,5,0.9999999
5,5,0.99999964
5,5,0.9999995
5,5,0.9999989
5,5,0.99999976
5,5,0.9999999
5,5,0.9999999
5,5,0.9999999
5,5,0.9999999
5,5,0.9999999
5,5,0.99999976
5,5,0.9999999
5,5,0.9999995
5,5,0.9999994
5,5,0.99999976
5,5,0.9999999
5,5,0.9999999
5,5,0.99999905
5,5,0.99999964
5,5,0.9999999
5,5,0.99999976
5,5,0.9999994
5,5,0.9999995
5,5,0.9999995
5,5,0.99999964
5,5,0.99999976
5,5,0.9999987
5,5,0.99999964
5,5,0.99999976
5,5,0.9999995
5,5,0.9999999
5,5,1.0
5,5,0.9999999
5,5,0.99999976
5,5,0.9999999
5,5,0.9999994
5,5,0.9999999
